chrPerturbationTarget	startPerturbationTarget	endPerturbationTarget	GeneSymbol	EffectSize	CellType	IncludeInModel	Significant	Regulated
chrX	47243805	47244325	HDAC6	0.086190995	K562	TRUE	FALSE	FALSE
chrX	47343205	47343725	HDAC6	0.066910923	K562	TRUE	FALSE	FALSE
chrX	47382685	47383225	HDAC6	0.005363006	K562	TRUE	FALSE	FALSE
chrX	47400485	47400985	HDAC6	-0.020550569	K562	TRUE	FALSE	FALSE
chrX	47401485	47402065	HDAC6	-0.043124132	K562	TRUE	FALSE	FALSE
chrX	47419285	47419945	HDAC6	-0.041203606	K562	TRUE	FALSE	FALSE
chrX	47421905	47422425	HDAC6	-0.01044569	K562	TRUE	FALSE	FALSE
chrX	47422665	47423645	HDAC6	-0.031961987	K562	TRUE	FALSE	FALSE
chrX	47432085	47432625	HDAC6	-0.016319964	K562	TRUE	FALSE	FALSE
chrX	47434105	47434605	HDAC6	-0.031596445	K562	TRUE	FALSE	FALSE
chrX	47436745	47437245	HDAC6	-0.048983254	K562	TRUE	FALSE	FALSE
chrX	47438845	47439365	HDAC6	0.110622884	K562	TRUE	TRUE	FALSE
chrX	47454985	47455485	HDAC6	-0.14507629	K562	TRUE	FALSE	FALSE
chrX	47467865	47468365	HDAC6	-0.021670815	K562	TRUE	FALSE	FALSE
chrX	47488305	47488805	HDAC6	0.033527491	K562	TRUE	FALSE	FALSE
chrX	47493305	47493805	HDAC6	0.016068309	K562	TRUE	FALSE	FALSE
chrX	47507005	47507505	HDAC6	0.023005174	K562	TRUE	FALSE	FALSE
chrX	47508545	47509125	HDAC6	-0.02244905	K562	TRUE	FALSE	FALSE
chrX	47521565	47522065	HDAC6	-0.096452859	K562	TRUE	FALSE	FALSE
chrX	47524065	47524605	HDAC6	0.017618818	K562	TRUE	FALSE	FALSE
chrX	47535285	47536065	HDAC6	-0.014954826	K562	TRUE	FALSE	FALSE
chrX	47542805	47543305	HDAC6	-0.059975334	K562	TRUE	FALSE	FALSE
chrX	47544885	47545405	HDAC6	0.037299548	K562	TRUE	FALSE	FALSE
chrX	47570625	47571185	HDAC6	0.04334156	K562	TRUE	FALSE	FALSE
chrX	47571945	47572585	HDAC6	-0.156594376	K562	TRUE	FALSE	FALSE
chrX	47612005	47612505	HDAC6	-0.030251789	K562	TRUE	FALSE	FALSE
chrX	47632105	47632605	HDAC6	-0.041842847	K562	TRUE	FALSE	FALSE
chrX	47655645	47656365	HDAC6	0.066392011	K562	TRUE	FALSE	FALSE
chrX	47661905	47662425	HDAC6	-0.012424816	K562	TRUE	FALSE	FALSE
chrX	47674165	47674665	HDAC6	0.042518844	K562	TRUE	FALSE	FALSE
chrX	47676765	47677285	HDAC6	0.059602786	K562	TRUE	FALSE	FALSE
chrX	47691105	47691705	HDAC6	-0.011631237	K562	TRUE	FALSE	FALSE
chrX	47696825	47697325	HDAC6	-0.019683553	K562	TRUE	FALSE	FALSE
chrX	47740185	47740725	HDAC6	0.223919763	K562	TRUE	TRUE	FALSE
chrX	47795865	47796365	HDAC6	0.106886178	K562	TRUE	FALSE	FALSE
chrX	47818245	47818745	HDAC6	-0.011000874	K562	TRUE	FALSE	FALSE
chrX	47884985	47885485	HDAC6	-0.093450603	K562	TRUE	FALSE	FALSE
chrX	47885945	47886505	HDAC6	-0.014891087	K562	TRUE	FALSE	FALSE
chrX	47942525	47943025	HDAC6	-0.002455749	K562	TRUE	FALSE	FALSE
chrX	48310005	48310525	HDAC6	-0.02168101	K562	TRUE	FALSE	FALSE
chrX	48325705	48326225	HDAC6	-0.032289895	K562	TRUE	FALSE	FALSE
chrX	48326465	48327005	HDAC6	-0.022700594	K562	TRUE	FALSE	FALSE
chrX	48331265	48331765	HDAC6	-0.077353167	K562	TRUE	FALSE	FALSE
chrX	48332405	48332905	HDAC6	0.014768026	K562	TRUE	FALSE	FALSE
chrX	48345785	48346285	HDAC6	0.00278015	K562	TRUE	FALSE	FALSE
chrX	48350605	48351345	HDAC6	-0.037482748	K562	TRUE	FALSE	FALSE
chrX	48352405	48352925	HDAC6	-0.020300636	K562	TRUE	FALSE	FALSE
chrX	48354985	48355505	HDAC6	0.017008372	K562	TRUE	FALSE	FALSE
chrX	48356645	48357245	HDAC6	0.024165004	K562	TRUE	FALSE	FALSE
chrX	48364025	48364525	HDAC6	-0.063191981	K562	TRUE	FALSE	FALSE
chrX	48369845	48370345	HDAC6	-0.073481612	K562	TRUE	FALSE	FALSE
chrX	48371925	48372445	HDAC6	-0.004744435	K562	TRUE	FALSE	FALSE
chrX	48372685	48373245	HDAC6	0.016914385	K562	TRUE	FALSE	FALSE
chrX	48389965	48390465	HDAC6	-0.048324872	K562	TRUE	FALSE	FALSE
chrX	48390485	48390985	HDAC6	-0.082517674	K562	TRUE	FALSE	FALSE
chrX	48405705	48406205	HDAC6	0.073658377	K562	TRUE	FALSE	FALSE
chrX	48428185	48428765	HDAC6	-0.039594296	K562	TRUE	FALSE	FALSE
chrX	48431145	48431645	HDAC6	0.092614621	K562	TRUE	FALSE	FALSE
chrX	48438965	48439465	HDAC6	-0.038105452	K562	TRUE	FALSE	FALSE
chrX	48448065	48448605	HDAC6	-0.046529068	K562	TRUE	FALSE	FALSE
chrX	48449085	48449585	HDAC6	-0.020066586	K562	TRUE	FALSE	FALSE
chrX	48449665	48450385	HDAC6	-0.085819583	K562	TRUE	FALSE	FALSE
chrX	48450485	48450985	HDAC6	-0.028028569	K562	TRUE	FALSE	FALSE
chrX	48451105	48451605	HDAC6	-0.025668872	K562	TRUE	FALSE	FALSE
chrX	48454285	48454805	HDAC6	0.107773144	K562	TRUE	FALSE	FALSE
chrX	48470045	48470565	HDAC6	-0.003663247	K562	TRUE	FALSE	FALSE
chrX	48475885	48476425	HDAC6	-0.011561153	K562	TRUE	FALSE	FALSE
chrX	48487645	48488205	HDAC6	-0.01574896	K562	TRUE	FALSE	FALSE
chrX	48489685	48490205	HDAC6	0.012309042	K562	TRUE	FALSE	FALSE
chrX	48490385	48490885	HDAC6	0.031785204	K562	TRUE	FALSE	FALSE
chrX	48495065	48495645	HDAC6	-0.019327673	K562	TRUE	FALSE	FALSE
chrX	48506625	48507125	HDAC6	-0.021101056	K562	TRUE	FALSE	FALSE
chrX	48507425	48507925	HDAC6	-0.055651607	K562	TRUE	FALSE	FALSE
chrX	48510425	48510965	HDAC6	-0.182742894	K562	TRUE	FALSE	FALSE
chrX	48534565	48535105	HDAC6	-0.015729496	K562	TRUE	FALSE	FALSE
chrX	48538765	48539265	HDAC6	-0.051344964	K562	TRUE	FALSE	FALSE
chrX	48559305	48559825	HDAC6	-0.019098264	K562	TRUE	FALSE	FALSE
chrX	48560285	48560825	HDAC6	-0.003667436	K562	TRUE	FALSE	FALSE
chrX	48570385	48570885	HDAC6	0.00452852	K562	TRUE	FALSE	FALSE
chrX	48573385	48573925	HDAC6	-0.051370135	K562	TRUE	FALSE	FALSE
chrX	48594765	48595265	HDAC6	0.039359301	K562	TRUE	FALSE	FALSE
chrX	48595425	48596325	HDAC6	-0.037178864	K562	TRUE	FALSE	FALSE
chrX	48597445	48597945	HDAC6	-0.044512087	K562	TRUE	FALSE	FALSE
chrX	48610905	48611405	HDAC6	0.024459559	K562	TRUE	FALSE	FALSE
chrX	48623325	48623865	HDAC6	0.022491852	K562	TRUE	FALSE	FALSE
chrX	48623905	48624465	HDAC6	-0.069740826	K562	TRUE	FALSE	FALSE
chrX	48628605	48629585	HDAC6	-0.04824602	K562	TRUE	FALSE	FALSE
chrX	48635365	48635885	HDAC6	-0.000433424	K562	TRUE	FALSE	FALSE
chrX	48643025	48643685	HDAC6	0.086367953	K562	TRUE	TRUE	FALSE
chrX	48647805	48648385	HDAC6	0.068731569	K562	TRUE	FALSE	FALSE
chrX	48651705	48652205	HDAC6	0.046750278	K562	TRUE	FALSE	FALSE
chrX	48652605	48653165	HDAC6	0.013173327	K562	TRUE	FALSE	FALSE
chrX	48653225	48653725	HDAC6	-0.062259787	K562	TRUE	FALSE	FALSE
chrX	48656645	48657145	HDAC6	0.042584419	K562	TRUE	FALSE	FALSE
chrX	48692065	48692625	HDAC6	-0.025911487	K562	TRUE	FALSE	FALSE
chrX	48722545	48723045	HDAC6	-0.008505676	K562	TRUE	FALSE	FALSE
chrX	48726205	48726785	HDAC6	0.008466813	K562	TRUE	FALSE	FALSE
chrX	48742005	48742525	HDAC6	-0.019876931	K562	TRUE	FALSE	FALSE
chrX	48747605	48748145	HDAC6	-0.012789606	K562	TRUE	FALSE	FALSE
chrX	48748805	48749325	HDAC6	-0.026824305	K562	TRUE	FALSE	FALSE
chrX	48774465	48774965	HDAC6	0.009876678	K562	TRUE	FALSE	FALSE
chrX	48777085	48777985	HDAC6	0.013631032	K562	TRUE	FALSE	FALSE
chrX	48794265	48795305	HDAC6	-0.037684864	K562	TRUE	FALSE	FALSE
chrX	48797725	48798225	HDAC6	-0.049352593	K562	TRUE	FALSE	FALSE
chrX	48798965	48799505	HDAC6	-0.067455453	K562	TRUE	FALSE	FALSE
chrX	48800185	48800685	HDAC6	-0.060133424	K562	TRUE	FALSE	FALSE
chrX	48800985	48801485	HDAC6	-0.054793372	K562	TRUE	FALSE	FALSE
chrX	48802945	48803465	HDAC6	0.040466546	K562	TRUE	FALSE	FALSE
chrX	48805845	48806345	HDAC6	-0.025010531	K562	TRUE	FALSE	FALSE
chrX	48813165	48813685	HDAC6	-0.026024739	K562	TRUE	FALSE	FALSE
chrX	48818745	48819245	HDAC6	0.011020897	K562	TRUE	FALSE	FALSE
chrX	48819285	48819785	HDAC6	-0.004398171	K562	TRUE	FALSE	FALSE
chrX	48836685	48837185	HDAC6	0.020868878	K562	TRUE	FALSE	FALSE
chrX	48860065	48860565	HDAC6	0.207037066	K562	TRUE	TRUE	FALSE
chrX	48895325	48895825	HDAC6	-0.039068037	K562	TRUE	FALSE	FALSE
chrX	48897325	48897825	HDAC6	0.032027486	K562	TRUE	FALSE	FALSE
chrX	48899145	48899645	HDAC6	0.053322961	K562	TRUE	FALSE	FALSE
chrX	48899705	48900305	HDAC6	-0.00310017	K562	TRUE	FALSE	FALSE
chrX	48904685	48905265	HDAC6	-0.043987078	K562	TRUE	FALSE	FALSE
chrX	48917305	48917805	HDAC6	0.031537816	K562	TRUE	FALSE	FALSE
chrX	48925945	48926445	HDAC6	0.013244514	K562	TRUE	FALSE	FALSE
chrX	48939865	48940365	HDAC6	0.013250175	K562	TRUE	FALSE	FALSE
chrX	48940985	48941505	HDAC6	-0.015413647	K562	TRUE	FALSE	FALSE
chrX	48956765	48957325	HDAC6	0.000703588	K562	TRUE	FALSE	FALSE
chrX	48963765	48964265	HDAC6	0.029344326	K562	TRUE	FALSE	FALSE
chrX	48976385	48976885	HDAC6	0.012131477	K562	TRUE	FALSE	FALSE
chrX	48996025	48996525	HDAC6	0.075994757	K562	TRUE	FALSE	FALSE
chrX	49004925	49005425	HDAC6	-0.019497176	K562	TRUE	FALSE	FALSE
chrX	49011485	49012945	HDAC6	-0.037253322	K562	TRUE	FALSE	FALSE
chrX	49014485	49014985	HDAC6	-0.013575164	K562	TRUE	FALSE	FALSE
chrX	49020285	49020785	HDAC6	-0.002926755	K562	TRUE	FALSE	FALSE
chrX	49022705	49023205	HDAC6	0.030817437	K562	TRUE	FALSE	FALSE
chrX	49023505	49024085	HDAC6	0.011928226	K562	TRUE	FALSE	FALSE
chrX	49030945	49031445	HDAC6	0.007124016	K562	TRUE	FALSE	FALSE
chrX	49031705	49032285	HDAC6	0.014549819	K562	TRUE	FALSE	FALSE
chrX	49033765	49034265	HDAC6	-0.011694223	K562	TRUE	FALSE	FALSE
chrX	49045105	49045605	HDAC6	-0.047958727	K562	TRUE	FALSE	FALSE
chrX	49045685	49046185	HDAC6	-0.02573395	K562	TRUE	FALSE	FALSE
chrX	49047365	49047885	HDAC6	-0.03878076	K562	TRUE	FALSE	FALSE
chrX	49049105	49049605	HDAC6	-0.040118797	K562	TRUE	FALSE	FALSE
chrX	49049845	49050365	HDAC6	0.014523388	K562	TRUE	FALSE	FALSE
chrX	49066185	49066745	HDAC6	-0.018736198	K562	TRUE	FALSE	FALSE
chrX	49086865	49087825	HDAC6	-0.023973831	K562	TRUE	FALSE	FALSE
chrX	49093605	49094365	HDAC6	-0.020235716	K562	TRUE	FALSE	FALSE
chrX	49096745	49097345	HDAC6	0.07927466	K562	TRUE	FALSE	FALSE
chrX	49098125	49098645	HDAC6	-0.012677839	K562	TRUE	FALSE	FALSE
chrX	49099045	49099565	HDAC6	-0.067186609	K562	TRUE	FALSE	FALSE
chrX	49116665	49117245	HDAC6	0.071128319	K562	TRUE	FALSE	FALSE
chrX	49127425	49127925	HDAC6	0.042391426	K562	TRUE	FALSE	FALSE
chrX	49129665	49130245	HDAC6	-0.02863828	K562	TRUE	FALSE	FALSE
chrX	49138945	49139465	HDAC6	-0.004752132	K562	TRUE	FALSE	FALSE
chrX	49148345	49148845	HDAC6	0.006517734	K562	TRUE	FALSE	FALSE
chrX	49437985	49438485	HDAC6	0.005606045	K562	TRUE	FALSE	FALSE
chrX	49518745	49519265	HDAC6	0.085964865	K562	TRUE	FALSE	FALSE
chrX	49602945	49603445	HDAC6	0.048495756	K562	TRUE	FALSE	FALSE
chrX	49605225	49605785	HDAC6	-0.010160889	K562	TRUE	FALSE	FALSE
chrX	49621265	49621765	HDAC6	-0.106479202	K562	TRUE	FALSE	FALSE
chrX	49624005	49624505	HDAC6	0.027152626	K562	TRUE	FALSE	FALSE
chrX	49625405	49626205	HDAC6	-0.006034326	K562	TRUE	FALSE	FALSE
chrX	49626645	49627185	HDAC6	0.021435162	K562	TRUE	FALSE	FALSE
chrX	49633305	49633805	HDAC6	-0.00395535	K562	TRUE	FALSE	FALSE
chrX	49641285	49641805	HDAC6	-0.030910901	K562	TRUE	FALSE	FALSE
chrX	49648805	49649305	HDAC6	-0.00375816	K562	TRUE	FALSE	FALSE
chrX	49680105	49680685	HDAC6	0.008185736	K562	TRUE	FALSE	FALSE
chrX	49684045	49684585	HDAC6	0.056411675	K562	TRUE	FALSE	FALSE
chrX	49685645	49686165	HDAC6	0.060540942	K562	TRUE	FALSE	FALSE
chrX	49687965	49688465	HDAC6	0.063189492	K562	TRUE	FALSE	FALSE
chrX	49689325	49689985	HDAC6	-0.047210378	K562	TRUE	FALSE	FALSE
chrX	49690965	49691465	HDAC6	-0.028984158	K562	TRUE	FALSE	FALSE
chrX	49741265	49741785	HDAC6	-0.154834113	K562	TRUE	FALSE	FALSE
chrX	49810765	49811265	HDAC6	-0.04839912	K562	TRUE	FALSE	FALSE
chrX	49836225	49836765	HDAC6	-0.012440566	K562	TRUE	FALSE	FALSE
chrX	49900825	49901845	HDAC6	-0.032735456	K562	TRUE	FALSE	FALSE
chrX	49941745	49942265	HDAC6	-0.028941339	K562	TRUE	FALSE	FALSE
chrX	49945145	49945645	HDAC6	-0.044507316	K562	TRUE	FALSE	FALSE
chrX	49948505	49949145	HDAC6	-0.026302794	K562	TRUE	FALSE	FALSE
chrX	49962985	49963545	HDAC6	0.011070692	K562	TRUE	FALSE	FALSE
chrX	49969065	49969605	HDAC6	-0.076742465	K562	TRUE	FALSE	FALSE
chrX	50191545	50192045	HDAC6	-0.049772072	K562	TRUE	FALSE	FALSE
chrX	50322885	50323405	HDAC6	-0.00294396	K562	TRUE	FALSE	FALSE
chrX	50434665	50435165	HDAC6	-0.061926327	K562	TRUE	FALSE	FALSE
chrX	46655945	46656445	GATA1	0.00261436	K562	TRUE	FALSE	FALSE
chrX	46697525	46698025	GATA1	-0.05518383	K562	TRUE	FALSE	FALSE
chrX	46773165	46773765	GATA1	-0.08099196	K562	TRUE	FALSE	FALSE
chrX	46824385	46824885	GATA1	-0.07893221	K562	TRUE	FALSE	FALSE
chrX	46837945	46838445	GATA1	-0.06680157	K562	TRUE	FALSE	FALSE
chrX	46870105	46870645	GATA1	-0.03463526	K562	TRUE	FALSE	FALSE
chrX	46889645	46890165	GATA1	-0.05659444	K562	TRUE	FALSE	FALSE
chrX	46907325	46907845	GATA1	-0.04680425	K562	TRUE	FALSE	FALSE
chrX	46918825	46919345	GATA1	0.01787635	K562	TRUE	FALSE	FALSE
chrX	46936185	46936705	GATA1	0.01331541	K562	TRUE	FALSE	FALSE
chrX	46952565	46953065	GATA1	0.09732851	K562	TRUE	FALSE	FALSE
chrX	46988405	46988905	GATA1	-0.02443015	K562	TRUE	FALSE	FALSE
chrX	46994945	46995465	GATA1	0.01734809	K562	TRUE	FALSE	FALSE
chrX	47050785	47051285	GATA1	0.00487792	K562	TRUE	FALSE	FALSE
chrX	47056545	47057085	GATA1	0.00289164	K562	TRUE	FALSE	FALSE
chrX	47124105	47124625	GATA1	0.00325602	K562	TRUE	FALSE	FALSE
chrX	47144785	47145285	GATA1	0.05048929	K562	TRUE	FALSE	FALSE
chrX	47171685	47172205	GATA1	-0.02622738	K562	TRUE	FALSE	FALSE
chrX	47180665	47181185	GATA1	-0.0307211	K562	TRUE	FALSE	FALSE
chrX	47221385	47221925	GATA1	-0.01048536	K562	TRUE	FALSE	FALSE
chrX	47225545	47226065	GATA1	-0.02910088	K562	TRUE	FALSE	FALSE
chrX	47239665	47240165	GATA1	0.04359503	K562	TRUE	FALSE	FALSE
chrX	47243805	47244325	GATA1	0.00749605	K562	TRUE	FALSE	FALSE
chrX	47343205	47343725	GATA1	-0.00550975	K562	TRUE	FALSE	FALSE
chrX	47382685	47383225	GATA1	-0.02350761	K562	TRUE	FALSE	FALSE
chrX	47400485	47400985	GATA1	-0.0701482	K562	TRUE	FALSE	FALSE
chrX	47401485	47402065	GATA1	0.08284683	K562	TRUE	FALSE	FALSE
chrX	47419285	47419945	GATA1	-0.06731496	K562	TRUE	FALSE	FALSE
chrX	47421905	47422425	GATA1	0.01644678	K562	TRUE	FALSE	FALSE
chrX	47422665	47423645	GATA1	-0.02128281	K562	TRUE	FALSE	FALSE
chrX	47432085	47432625	GATA1	-0.00231073	K562	TRUE	FALSE	FALSE
chrX	47434105	47434605	GATA1	-0.01503727	K562	TRUE	FALSE	FALSE
chrX	47436745	47437245	GATA1	-0.00162009	K562	TRUE	FALSE	FALSE
chrX	47438845	47439365	GATA1	0.00749586	K562	TRUE	FALSE	FALSE
chrX	47454985	47455485	GATA1	-0.04920592	K562	TRUE	FALSE	FALSE
chrX	47467865	47468365	GATA1	0.02798587	K562	TRUE	FALSE	FALSE
chrX	47488305	47488805	GATA1	-0.00835689	K562	TRUE	FALSE	FALSE
chrX	47493305	47493805	GATA1	0.00707048	K562	TRUE	FALSE	FALSE
chrX	47507005	47507505	GATA1	0.04541731	K562	TRUE	FALSE	FALSE
chrX	47508545	47509125	GATA1	0.01086054	K562	TRUE	FALSE	FALSE
chrX	47521565	47522065	GATA1	-0.01387595	K562	TRUE	FALSE	FALSE
chrX	47522405	47522905	GATA1	0.03349154	K562	TRUE	FALSE	FALSE
chrX	47524065	47524605	GATA1	-0.00367084	K562	TRUE	FALSE	FALSE
chrX	47535285	47536065	GATA1	-0.03081506	K562	TRUE	FALSE	FALSE
chrX	47542805	47543305	GATA1	-0.01388888	K562	TRUE	FALSE	FALSE
chrX	47544885	47545405	GATA1	-0.06628801	K562	TRUE	FALSE	FALSE
chrX	47570625	47571185	GATA1	-0.02003157	K562	TRUE	FALSE	FALSE
chrX	47571945	47572585	GATA1	0.03923591	K562	TRUE	FALSE	FALSE
chrX	47612005	47612505	GATA1	0.01105885	K562	TRUE	FALSE	FALSE
chrX	47632105	47632605	GATA1	-0.02735355	K562	TRUE	FALSE	FALSE
chrX	47655645	47656365	GATA1	-0.02490596	K562	TRUE	FALSE	FALSE
chrX	47661905	47662425	GATA1	-0.03051975	K562	TRUE	FALSE	FALSE
chrX	47674165	47674665	GATA1	0.00837237	K562	TRUE	FALSE	FALSE
chrX	47676765	47677285	GATA1	0.02231264	K562	TRUE	FALSE	FALSE
chrX	47691105	47691705	GATA1	-0.03549121	K562	TRUE	FALSE	FALSE
chrX	47696825	47697325	GATA1	-0.04851941	K562	TRUE	FALSE	FALSE
chrX	47740185	47740725	GATA1	-0.03039546	K562	TRUE	FALSE	FALSE
chrX	47795865	47796365	GATA1	-0.00852536	K562	TRUE	FALSE	FALSE
chrX	47799825	47800345	GATA1	-0.0954285	K562	TRUE	FALSE	FALSE
chrX	47818245	47818745	GATA1	-0.00460516	K562	TRUE	FALSE	FALSE
chrX	47884985	47885485	GATA1	0.06315883	K562	TRUE	FALSE	FALSE
chrX	47885945	47886505	GATA1	0.00681756	K562	TRUE	FALSE	FALSE
chrX	47942525	47943025	GATA1	-0.01072866	K562	TRUE	FALSE	FALSE
chrX	48310005	48310525	GATA1	-0.0031032	K562	TRUE	FALSE	FALSE
chrX	48325705	48326225	GATA1	-0.05252903	K562	TRUE	FALSE	FALSE
chrX	48326465	48327005	GATA1	-0.01888453	K562	TRUE	FALSE	FALSE
chrX	48331265	48331765	GATA1	-0.0561001	K562	TRUE	FALSE	FALSE
chrX	48332405	48332905	GATA1	-0.03666456	K562	TRUE	FALSE	FALSE
chrX	48345785	48346285	GATA1	-0.0275348	K562	TRUE	FALSE	FALSE
chrX	48350605	48351345	GATA1	-0.01948559	K562	TRUE	FALSE	FALSE
chrX	48352405	48352925	GATA1	-0.02747489	K562	TRUE	FALSE	FALSE
chrX	48354985	48355505	GATA1	-0.0406112	K562	TRUE	FALSE	FALSE
chrX	48356645	48357245	GATA1	-0.02127837	K562	TRUE	FALSE	FALSE
chrX	48364025	48364525	GATA1	-0.06071511	K562	TRUE	FALSE	FALSE
chrX	48369845	48370345	GATA1	0.02432644	K562	TRUE	FALSE	FALSE
chrX	48371925	48372445	GATA1	-0.00311111	K562	TRUE	FALSE	FALSE
chrX	48372685	48373245	GATA1	-0.03069641	K562	TRUE	FALSE	FALSE
chrX	48389085	48389585	GATA1	0.08810262	K562	TRUE	FALSE	FALSE
chrX	48389965	48390465	GATA1	-0.01506714	K562	TRUE	FALSE	FALSE
chrX	48390485	48390985	GATA1	-0.0114528	K562	TRUE	FALSE	FALSE
chrX	48405705	48406205	GATA1	-0.0164895	K562	TRUE	FALSE	FALSE
chrX	48414025	48414525	GATA1	-0.01870058	K562	TRUE	FALSE	FALSE
chrX	48428185	48428765	GATA1	0.07989596	K562	TRUE	FALSE	FALSE
chrX	48431145	48431645	GATA1	-0.02853758	K562	TRUE	FALSE	FALSE
chrX	48438965	48439465	GATA1	-0.02845627	K562	TRUE	FALSE	FALSE
chrX	48448065	48448605	GATA1	-0.01689216	K562	TRUE	FALSE	FALSE
chrX	48449085	48449585	GATA1	-0.06139947	K562	TRUE	FALSE	FALSE
chrX	48449665	48450385	GATA1	-0.00298228	K562	TRUE	FALSE	FALSE
chrX	48450485	48450985	GATA1	-0.03406155	K562	TRUE	FALSE	FALSE
chrX	48451105	48451605	GATA1	0.015207	K562	TRUE	FALSE	FALSE
chrX	48454285	48454805	GATA1	-0.01034336	K562	TRUE	FALSE	FALSE
chrX	48470045	48470565	GATA1	-0.00712771	K562	TRUE	FALSE	FALSE
chrX	48475885	48476425	GATA1	-0.03233496	K562	TRUE	FALSE	FALSE
chrX	48487645	48488205	GATA1	-0.01697971	K562	TRUE	FALSE	FALSE
chrX	48489685	48490205	GATA1	0.02929835	K562	TRUE	FALSE	FALSE
chrX	48490385	48490885	GATA1	0.0060084	K562	TRUE	FALSE	FALSE
chrX	48495065	48495645	GATA1	-0.03178181	K562	TRUE	FALSE	FALSE
chrX	48506625	48507125	GATA1	-0.04291393	K562	TRUE	FALSE	FALSE
chrX	48507425	48507925	GATA1	-0.01140841	K562	TRUE	FALSE	FALSE
chrX	48534565	48535105	GATA1	-0.04543462	K562	TRUE	FALSE	FALSE
chrX	48538765	48539265	GATA1	-0.04822111	K562	TRUE	FALSE	FALSE
chrX	48559305	48559825	GATA1	-0.01693575	K562	TRUE	FALSE	FALSE
chrX	48560285	48560825	GATA1	-0.00186009	K562	TRUE	FALSE	FALSE
chrX	48570385	48570885	GATA1	-0.04168937	K562	TRUE	FALSE	FALSE
chrX	48573385	48573925	GATA1	-0.0363006	K562	TRUE	FALSE	FALSE
chrX	48594765	48595265	GATA1	-0.00353842	K562	TRUE	FALSE	FALSE
chrX	48595425	48596325	GATA1	-0.02914425	K562	TRUE	FALSE	FALSE
chrX	48597445	48597945	GATA1	-0.0563395	K562	TRUE	FALSE	FALSE
chrX	48610905	48611405	GATA1	-0.00853518	K562	TRUE	FALSE	FALSE
chrX	48623325	48623865	GATA1	-0.02316793	K562	TRUE	FALSE	FALSE
chrX	48623905	48624465	GATA1	-0.07563027	K562	TRUE	FALSE	FALSE
chrX	48628605	48629585	GATA1	-0.05979141	K562	TRUE	FALSE	FALSE
chrX	48635365	48635885	GATA1	-0.0749079	K562	TRUE	FALSE	FALSE
chrX	48637765	48638265	GATA1	-0.06771297	K562	TRUE	FALSE	FALSE
chrX	48643025	48643685	GATA1	-0.18712737	K562	TRUE	TRUE	TRUE
chrX	48656645	48657145	GATA1	-0.05867424	K562	TRUE	FALSE	FALSE
chrX	48670685	48671185	GATA1	-0.0345671	K562	TRUE	FALSE	FALSE
chrX	48692065	48692625	GATA1	-0.04264736	K562	TRUE	FALSE	FALSE
