chrTSS	startTSS	endTSS	GeneSymbol
chr8	74205869	74205869	RPL7
chr8	74206836	74206836	RDH10
chr8	74268696	74268696	RDH10-AS1
chr8	74659162	74659162	STAU2
chr8	74791145	74791145	UBE2W
chr8	74884522	74884522	ELOC
chr8	74888376	74888376	TMEM70
chr8	75262617	75262617	GDAP1
chr8	77593514	77593514	ZFHX4
chr8	77912524	77912524	PEX2
chr8	80680098	80680098	HEY1
chr8	80680376	80680376	LINC01607
chr8	80783972	80783972	LOC101927040
chr8	80942506	80942506	MRPS28
chr8	82192717	82192717	FABP5
chr8	82598589	82598589	IMPA1
chr8	82633539	82633539	ZFAND1
chr8	82644687	82644687	CHMP4C
chr8	82754521	82754521	SNX16
chr8	86019322	86019322	LRRCC1
chr8	86089276	86089276	LOC102723322
chr8	86089618	86089618	E2F5
chr8	86132651	86132651	C8orf59
chr8	86157715	86157715	CA13
chr8	86290383	86290383	CA1
chr8	87354993	87354993	WWP1
chr8	87521009	87521009	RMDN1
chr8	87526655	87526655	CPNE3
chr8	88886296	88886296	DCAF4L2
chr8	90769939	90769939	LOC101929709
chr8	90769974	90769974	RIPK2
chr8	90914095	90914095	OSGIN2
chr8	90996899	90996899	NBN
chr8	91013579	91013579	DECR1
chr8	91095109	91095109	CALB1
chr8	91233715	91233715	LINC00534
chr8	91658133	91658133	TMEM64
chr8	91997485	91997485	C8orf88
chr8	92053203	92053203	TMEM55A
chr8	92082417	92082417	OTUD6B-AS1
chr8	92082423	92082423	OTUD6B
chr8	92114846	92114846	LRRC69
chr8	93978372	93978372	TRIQK
chr8	94712734	94712734	FAM92A
chr8	94753224	94753224	RBM12B
chr8	94767071	94767071	TMEM67
chr8	95487343	95487343	RAD54B
chr8	95565746	95565746	KIAA1429
chr8	95732102	95732102	DPY19L4
chr8	95835517	95835517	INTS8
chr8	95907482	95907482	CCNE2
chr8	96037213	96037213	NDUFAF6
chr8	96145948	96145948	PLEKHF2
chr8	96228602	96228602	LINC01298
chr8	96281063	96281063	C8orf37-AS1
chr8	96281462	96281462	C8orf37
chr8	97247862	97247862	UQCRB
chr8	97273841	97273841	MTERF3
chr8	97274113	97274113	PTDSS1
chr8	97399666	97399666	LOC102724804
chr8	97657454	97657454	CPQ
chr8	98656406	98656406	MTDH
chr8	98787808	98787808	LAPTM4B
chr8	99057818	99057818	RPL30
chr8	99129418	99129418	RIDA
chr8	99129520	99129520	POP1
chr8	99837909	99837909	STK3
chr8	99956630	99956630	OSR2
chr8	100025493	100025493	VPS13B
chr8	100906242	100906242	COX6C
chr8	101162838	101162838	POLR2K
chr8	101315487	101315487	RNF19A
chr8	101572014	101572014	ANKRD46
chr8	101734315	101734315	PABPC1
chr8	101963560	101963560	YWHAZ
chr8	102064281	102064281	FLJ42969
chr8	102217960	102217960	ZNF706
chr8	102996659	102996659	LOC104054148
chr8	103136562	103136562	NCALD
chr8	103251346	103251346	RRM2B
chr8	103251678	103251678	UBR5-AS1
chr8	103424917	103424917	UBR5
chr8	103666192	103666192	KLF10
chr8	103876428	103876428	AZIN1
chr8	103876498	103876498	AZIN1-AS1
chr8	104033247	104033247	ATP6V1C1
chr8	104426941	104426941	DCAF13
chr8	104427563	104427563	SLC25A32
chr8	105601252	105601252	LRP12
chr8	106331146	106331146	ZFPM2
chr8	107072731	107072731	ZFPM2-AS1
chr8	107282405	107282405	OXR1
chr8	108510283	108510283	ANGPT1
chr8	109260959	109260959	EIF3E
chr8	109455811	109455811	EMC2
chr8	110346350	110346350	NUDCD1
chr8	110346551	110346551	ENY2
chr8	110374705	110374705	PKHD1L1
chr8	110552303	110552303	EBAG9
chr8	110656343	110656343	LOC100132813
chr8	110661132	110661132	SYBU
chr8	116681255	116681255	TRPS1
chr8	117664338	117664338	LOC105375713
chr8	117768062	117768062	EIF3H
chr8	117778741	117778741	UTP23
chr8	117887105	117887105	RAD21
chr8	118532951	118532951	MED30
chr8	119124058	119124058	EXT1
chr8	120845074	120845074	TAF2
chr8	120868170	120868170	DSCC1
chr8	121457637	121457637	MTBP
chr8	121457647	121457647	MRPL13
chr8	123706345	123706345	LINC01151
chr8	124054663	124054663	DERL1
chr8	124084919	124084919	TBC1D31
chr8	124194591	124194591	FAM83A
chr8	124253638	124253638	C8orf76
chr8	124286727	124286727	ZHX1-C8orf76
chr8	124286727	124286727	ZHX1
chr8	124408705	124408705	ATAD2
chr8	124428964	124428964	WDYHV1
chr8	124553493	124553493	FBXO32
chr8	124780678	124780678	FAM91A1
chr8	125384940	125384940	TMEM65
chr8	125463047	125463047	TRMT12
chr8	125486804	125486804	RNF139-AS1
chr8	125487007	125487007	RNF139
chr8	125551329	125551329	TATDN1
chr8	125551342	125551342	NDUFB9
chr8	125985538	125985538	ZNF572
chr8	126010440	126010440	LOC105375744
chr8	126010719	126010719	SQLE
chr8	126104061	126104061	WASHC5
chr8	126104082	126104082	NSMCE2
chr8	126442562	126442562	TRIB1
chr8	128748314	128748314	MYC
chr8	128806778	128806778	PVT1
chr8	130253486	130253486	LINC00977
chr8	130587264	130587264	CCDC26
chr8	130952118	130952118	FAM49B
chr8	131455906	131455906	ASAP1
chr8	132916334	132916334	EFR3A
chr8	133787603	133787603	PHF20L1
chr8	134309547	134309547	NDRG1
chr8	134584183	134584183	ST3GAL1
chr8	134898738	134898738	LOC101927822
chr8	135725292	135725292	ZFAT
chr8	136469707	136469707	KHDRBS3
chr8	141467861	141467861	TRAPPC9
chr8	141521396	141521396	CHRAC1
chr8	141645645	141645645	AGO2
chr8	142011412	142011412	PTK2
chr8	142238673	142238673	SLC45A4
chr8	142350647	142350647	LINC01300
chr8	142431487	142431487	PTP4A3
chr8	143484610	143484610	TSNARE1
chr8	143719948	143719948	LOC101928087
chr8	143751412	143751412	JRK
chr8	143808391	143808391	LOC100288181
chr8	143808620	143808620	THEM6
chr8	144099807	144099807	LOC100133669
chr8	144099901	144099901	LY6E
chr8	144329097	144329097	ZFP41
chr8	144349606	144349606	GLI4
chr8	144363870	144363870	MINCR
chr8	144373558	144373558	ZNF696
chr8	144442147	144442147	TOP1MT
chr8	144451024	144451024	RHPN1
chr8	144623620	144623620	ZC3H3
chr8	144640476	144640476	GSDMD
chr8	144654928	144654928	MROH6
chr8	144660521	144660521	NAPRT
chr8	144679845	144679845	EEF1D
chr8	144680073	144680073	TIGD5
chr8	144691784	144691784	PYCRL
chr8	144699732	144699732	TSTA3
chr8	144731953	144731953	ZNF623
chr8	144766621	144766621	ZNF707
chr8	144798506	144798506	MAPK15
chr8	144815914	144815914	FAM83H
chr8	144897549	144897549	SCRIB
chr8	144911556	144911556	PUF60
chr8	144923146	144923146	NRBP2
chr8	144952632	144952632	EPPK1
chr8	145050913	145050913	PLEC
chr8	145060639	145060639	PARP10
chr8	145064225	145064225	GRINA
chr8	145115606	145115606	OPLAH
chr8	145133521	145133521	EXOSC4
chr8	145137523	145137523	GPAA1
chr8	145149937	145149937	CYC1
chr8	145159140	145159140	SHARPIN
chr8	145159304	145159304	MAF1
chr8	145162594	145162594	WDR97
chr8	145202918	145202918	MROH1
chr8	145515120	145515120	BOP1
chr8	145515250	145515250	HSF1
chr8	145550582	145550582	DGAT1
chr8	145582183	145582183	FBXL6
chr8	145582240	145582240	SLC52A2
chr8	145596648	145596648	LOC101928902
chr8	145597703	145597703	ADCK5
chr8	145634733	145634733	CPSF1
chr8	145641917	145641917	SLC39A4
chr8	145653946	145653946	VPS28
chr8	145669812	145669812	TONSL
chr8	145690849	145690849	CYHR1
chr8	145691719	145691719	KIFC2
chr8	145701718	145701718	FOXH1
chr8	145703364	145703364	PPP1R16A
chr8	145734418	145734418	MFSD3
chr8	145743210	145743210	RECQL4
chr8	145743348	145743348	LRRC14
chr8	145752416	145752416	LRRC24
chr8	145754458	145754458	C8orf82
chr8	145831080	145831080	ARHGAP39
chr8	145980970	145980970	ZNF251
chr8	146012730	146012730	ZNF34
chr8	146017774	146017774	RPL8
chr8	146024260	146024260	ZNF517
chr8	146052902	146052902	ZNF7
chr8	146078452	146078452	COMMD5
chr8	146126846	146126846	ZNF250
chr8	146176274	146176274	ZNF16
chr8	146228285	146228285	ZNF252P
chr8	146277823	146277823	C8orf33
chr14	20774153	20774153	TTC5
chr14	20801471	20801471	CCNB1IP1
chr14	20811570	20811570	RPPH1
chr14	20811772	20811772	PARP2
chr14	20881579	20881579	TEP1
chr14	20923267	20923267	OSGEP
chr14	20923289	20923289	APEX1
chr14	20929771	20929771	TMEM55B
chr14	20937537	20937537	PNP
chr14	21056382	21056382	LOC254028
chr14	21271036	21271036	RNASE1
chr14	21457964	21457964	METTL17
chr14	21467322	21467322	LOC101929718
chr14	21493264	21493264	NDRG2
chr14	21538418	21538418	ARHGEF40
chr14	21566808	21566808	ZNF219
chr14	21673662	21673662	LINC00641
chr14	21737638	21737638	HNRNPC
chr14	21852425	21852425	SUPT16H
chr14	21905457	21905457	CHD8
chr14	21945132	21945132	RAB2B
chr14	21945334	21945334	TOX4
chr14	21979517	21979517	METTL3
chr14	22005350	22005350	SALL2
chr14	23058143	23058143	DAD1
chr14	23067146	23067146	ABHD4
chr14	23235730	23235730	OXA1L
chr14	23299091	23299091	MRPL52
chr14	23305741	23305741	MMP14
chr14	23340925	23340925	LRP10
chr14	23388396	23388396	RBM23
chr14	23398794	23398794	PRMT5
chr14	23398817	23398817	LOC101926933
chr14	23426351	23426351	HAUS4
chr14	23451851	23451851	AJUBA
chr14	23479410	23479410	C14orf93
chr14	23504354	23504354	PSMB5
chr14	23526747	23526747	CDH24
chr14	23564682	23564682	C14orf119
chr14	23564823	23564823	ACIN1
chr14	23652869	23652869	SLC7A8
chr14	23707126	23707126	RNF212B
chr14	23755309	23755309	HOMEZ
chr14	23772057	23772057	PPP1R3E
chr14	23775970	23775970	BCL2L2
chr14	23775970	23775970	BCL2L2-PABPN1
chr14	23789396	23789396	PABPN1
chr14	23938897	23938897	NGDN
chr14	24025190	24025190	THTPA
chr14	24037045	24037045	AP1G2
chr14	24105572	24105572	DHRS2
chr14	24422943	24422943	DHRS4
chr14	24423406	24423406	DHRS4-AS1
chr14	24439082	24439082	DHRS4L2
chr14	24521205	24521205	CARMIL3
chr14	24553832	24553832	NRL
chr14	24563339	24563339	PCK2
chr14	24583985	24583985	DCAF11
chr14	24605366	24605366	PSME1
chr14	24610797	24610797	EMC9
chr14	24615855	24615855	PSME2
chr14	24616658	24616658	RNF31
chr14	24630421	24630421	IRF9
chr14	24658124	24658124	IPO4
chr14	24664942	24664942	TM9SF1
chr14	24683036	24683036	CHMP4A
chr14	24685276	24685276	MDP1
chr14	24701576	24701576	NEDD8
chr14	24701591	24701591	NEDD8-MDP1
chr14	24702077	24702077	GMPR2
chr14	24711880	24711880	TINF2
chr14	24740833	24740833	RABGGTA
chr14	24768666	24768666	DHRS1
chr14	24769059	24769059	NOP9
chr14	24779356	24779356	LTB4R2
chr14	24782312	24782312	LTB4R
chr14	24836116	24836116	NFATC4
chr14	24899140	24899140	KHNYN
chr14	24912009	24912009	SDR39U1
chr14	24912158	24912158	LOC101927045
chr14	27342338	27342338	MIR4307HG
chr14	29234525	29234525	FOXG1-AS1
chr14	29236277	29236277	FOXG1
chr14	31028328	31028328	G2E3
chr14	31091459	31091459	SCFD1
chr14	31343740	31343740	COCH
chr14	31494675	31494675	AP4S1
chr14	31495607	31495607	STRN3
chr14	31676729	31676729	HECTD1
chr14	31889788	31889788	HEATR5A
chr14	31889963	31889963	LOC101927124
chr14	31926680	31926680	DTD2
chr14	32030590	32030590	NUBPL
chr14	32545905	32545905	ARHGAP5-AS1
chr14	32546494	32546494	ARHGAP5
chr14	34420284	34420284	EGLN3
chr14	34931468	34931468	SPTSSA
chr14	35008943	35008943	EAPP
chr14	35099389	35099389	SNX6
chr14	35184029	35184029	CFL2
chr14	35344853	35344853	BAZ1A
chr14	35452103	35452103	SRP54
chr14	35515609	35515609	FAM177A1
chr14	35591526	35591526	KIAA0391
chr14	35591748	35591748	PPP2R3C
chr14	35761522	35761522	PSMA6
chr14	35873960	35873960	NFKBIA
chr14	36278350	36278350	RALGAPA1P1
chr14	36278529	36278529	RALGAPA1
chr14	36295596	36295596	BRMS1L
chr14	36789882	36789882	MBIP
chr14	37126772	37126772	PAX9
chr14	37641230	37641230	SLC25A21-AS1
chr14	37641865	37641865	SLC25A21
chr14	37667117	37667117	MIPOL1
chr14	38064325	38064325	FOXA1
chr14	39572732	39572732	SEC23A
chr14	39583487	39583487	GEMIN2
chr14	39639634	39639634	TRAPPC6B
chr14	39644386	39644386	PNN
chr14	39736265	39736265	LOC100288846
chr14	39901704	39901704	FBXO33
chr14	45431392	45431392	TOGARAM1
chr14	45553301	45553301	PRPF39
chr14	45603732	45603732	FKBP3
chr14	45605141	45605141	FANCM
chr14	45722605	45722605	MIS18BP1
chr14	50053134	50053134	RPS29
chr14	50065414	50065414	LRR1
chr14	50087403	50087403	RPL36AL
chr14	50087488	50087488	MGAT2
chr14	50101948	50101948	DNAAF2
chr14	50155098	50155098	POLE2
chr14	50234786	50234786	KLHDC2
chr14	50319921	50319921	NEMF
chr14	50359735	50359735	ARF6
chr14	50583297	50583297	VCPKMT
chr14	50698411	50698411	SOS2
chr14	50778947	50778947	L2HGDH
chr14	50779046	50779046	ATP5S
chr14	50862642	50862642	CDKL1
chr14	50999376	50999376	MAP4K5
chr14	51135071	51135071	SAV1
chr14	51288514	51288514	LOC105370489
chr14	51297839	51297839	NIN
chr14	51411248	51411248	PYGL
chr14	51706885	51706885	TMX1
chr14	52118462	52118462	FRMD6-AS1
chr14	52456227	52456227	C14orf166
chr14	53019301	53019301	TXNDC16
chr14	53162649	53162649	ERO1A
chr14	53173895	53173895	PSMC6
chr14	53196882	53196882	STYX
chr14	53258386	53258386	GNPNAT1
chr14	53620046	53620046	DDHD1
chr14	53620071	53620071	LOC101927620
chr14	54863672	54863672	CDKN3
chr14	54908148	54908148	CNIH1
chr14	54955744	54955744	GMFB
chr14	54976586	54976586	CGRRF1
chr14	55034329	55034329	SAMD4A
chr14	55369542	55369542	GCH1
chr14	55493819	55493819	WDHD1
chr14	55493843	55493843	SOCS4
chr14	55518361	55518361	MAPK1IP1L
chr14	55595934	55595934	LGALS3
chr14	55658396	55658396	DLGAP5
chr14	55738020	55738020	FBXO34
chr14	55878576	55878576	ATG14
chr14	56046810	56046810	KTN1-AS1
chr14	56046924	56046924	KTN1
chr14	56263392	56263392	LINC00520
chr14	57046510	57046510	TMEM260
chr14	57735605	57735605	AP5M1
chr14	57735617	57735617	EXOC5
chr14	57857270	57857270	NAA30
chr14	58666832	58666832	ACTR10
chr14	58711522	58711522	PSMA3
chr14	58764855	58764855	PSMA3-AS1
chr14	58765221	58765221	ARID4A
chr14	58893960	58893960	TIMM9
chr14	58894393	58894393	KIAA0586
chr14	59730158	59730158	DAAM1
chr14	59932059	59932059	GPR135
chr14	59951073	59951073	L3HYPDH
chr14	59951160	59951160	JKAMP
chr14	60558628	60558628	PCNX4
chr14	60632211	60632211	DHRS7
chr14	60715965	60715965	PPM1A
chr14	60952764	60952764	C14orf39
chr14	61190852	61190852	SIX4
chr14	61201458	61201458	MNAT1
chr14	61447797	61447797	TRMT5
chr14	61447831	61447831	SLC38A6
chr14	61788160	61788160	PRKCH
chr14	62162118	62162118	HIF1A
chr14	62217815	62217815	LOC105370526
chr14	62229074	62229074	SNAPC1
chr14	63511956	63511956	KCNH5
chr14	64010079	64010079	PPP2R5E
chr14	64108641	64108641	WDR89
chr14	64194813	64194813	SGPP1
chr14	64749793	64749793	ESR2
chr14	64854758	64854758	MTHFD1
chr14	64971291	64971291	ZBTB1
chr14	64971931	64971931	ZBTB25
chr14	65289866	65289866	SPTB
chr14	65381078	65381078	CHURC1
chr14	65453506	65453506	FNTB
chr14	65569262	65569262	MAX
chr14	65689065	65689065	LOC100128233
chr14	65877309	65877309	FUT8
chr14	65879335	65879335	FUT8-AS1
chr14	66974124	66974124	GPHN
chr14	67708011	67708011	MPP5
chr14	67826720	67826720	ATP6V1D
chr14	67827033	67827033	EIF2S1
chr14	68000007	68000007	PLEKHH1
chr14	68067017	68067017	PIGH
chr14	68086578	68086578	ARG2
chr14	68141602	68141602	VTI1B
chr14	68162510	68162510	RDH11
chr14	68283306	68283306	ZFYVE26
chr14	68286495	68286495	RAD51B
chr14	69260631	69260631	ZFP36L1
chr14	69446083	69446083	ACTN1
chr14	69619914	69619914	DCAF5
chr14	69658193	69658193	EXD2
chr14	69865021	69865021	ERH
chr14	69865384	69865384	SLC39A9
chr14	70078309	70078309	SUSD6
chr14	70233803	70233803	SRSF5
chr14	70234430	70234430	LOC100289511
chr14	70826448	70826448	COX16
chr14	70883807	70883807	SYNJ2BP
chr14	71067407	71067407	MED6
chr14	71165414	71165414	LINC01269
chr14	71374121	71374121	PCNX1
chr14	71954577	71954577	LOC145474
chr14	71996028	71996028	SIPA1L1
chr14	73360824	73360824	DPF3
chr14	73393039	73393039	DCAF4
chr14	73493920	73493920	ZFYVE1
chr14	73525220	73525220	RBM25
chr14	73603142	73603142	PSEN1
chr14	73704204	73704204	PAPLN
chr14	73925286	73925286	NUMB
chr14	73930348	73930348	LOC101928143
chr14	73957638	73957638	RIOX1
chr14	74111577	74111577	DNAL1
chr14	74181128	74181128	PNMA1
chr14	74227001	74227001	ELMSAN1
chr14	74254062	74254062	LOC100506476
chr14	74296838	74296838	LOC100506498
chr14	74318620	74318620	PTGR2
chr14	74353317	74353317	ZNF410
chr14	74416954	74416954	COQ6
chr14	74486026	74486026	ENTPD5
chr14	74486058	74486058	BBOF1
chr14	74551196	74551196	ALDH6A1
chr14	74551655	74551655	LIN52
chr14	74769767	74769767	ABCD4
chr14	74960084	74960084	NPC2
chr14	74960422	74960422	ISCA2
chr14	75179807	75179807	AREL1
chr14	75179849	75179849	FCF1
chr14	75230068	75230068	YLPM1
chr14	75348593	75348593	DLST
chr14	75389145	75389145	RPS6KL1
chr14	75469611	75469611	EIF2B2
chr14	75518235	75518235	MLH3
chr14	75530752	75530752	ACYP1
chr14	75536279	75536279	ZC2HC1C
chr14	75593783	75593783	NEK9
chr14	75643349	75643349	TMED10
chr14	75745480	75745480	FOS
chr14	75761106	75761106	LINC01220
chr14	75895059	75895059	JDP2
chr14	76127538	76127538	C14orf1
chr14	76127550	76127550	TTLL5
chr14	76448365	76448365	TGFB3
chr14	76452095	76452095	IFT43
chr14	76618227	76618227	GPATCH2L
chr14	76837689	76837689	ESRRB
chr14	77279283	77279283	ANGEL1
chr14	77425980	77425980	LINC01629
chr14	77495042	77495042	IRF2BPL
chr14	77507391	77507391	LOC283575
chr14	77564577	77564577	CIPC
chr14	77787225	77787225	POMT2
chr14	77787229	77787229	GSTZ1
chr14	77843452	77843452	TMED8
chr14	77923983	77923983	VIPAS39
chr14	77924372	77924372	AHSA1
chr14	78083110	78083110	SPTLC2
chr14	78174356	78174356	ALKBH1
chr14	78174413	78174413	SLIRP
chr14	78227497	78227497	SNW1
chr14	78266425	78266425	ADCK1
chr14	81405884	81405884	CEP128
chr14	81687296	81687296	GTF2A1
chr14	81687561	81687561	LOC101928504
chr14	81893556	81893556	STON2
chr14	82000205	82000205	SEL1L
chr14	88459615	88459615	GALC
chr14	88490893	88490893	LINC01146
chr14	88492656	88492656	LOC101928791
chr14	88851987	88851987	SPATA7
chr14	89029252	89029252	ZC3H14
chr14	89290496	89290496	TTC8
chr14	90421121	90421121	EFCAB11
chr14	90422245	90422245	TDP1
chr14	90722893	90722893	PSMC1
chr14	90798481	90798481	NRDE2
chr14	90863326	90863326	CALM1
chr14	90983553	90983553	LOC105370619
chr14	91163676	91163676	LOC105370622
chr14	91282761	91282761	TTC7B
chr14	91526993	91526993	RPS6KA5
chr14	91580356	91580356	C14orf159
chr14	91720224	91720224	GPR68
chr14	91884188	91884188	CCDC88C
chr14	91976824	91976824	PPP4R3A
chr14	92302870	92302870	TC2N
chr14	92506403	92506403	TRIP11
chr14	92572965	92572965	ATXN3
chr14	92588153	92588153	NDUFB1
chr14	92588297	92588297	CPSF2
chr14	93260575	93260575	GOLGA5
chr14	93582264	93582264	ITPK1
chr14	93651249	93651249	MOAP1
chr14	93651295	93651295	TMEM251
chr14	93673400	93673400	UBR7
chr14	93673459	93673459	GON7
chr14	93799438	93799438	BTBD7
chr14	94547558	94547558	DDX24
chr14	94547638	94547638	IFI27L1
chr14	94577078	94577078	IFI27
chr14	94595957	94595957	IFI27L2
chr14	95624347	95624347	DICER1
chr14	95942173	95942173	SYNE3
chr14	96001209	96001209	SNHG10
chr14	96001322	96001322	GLRX5
chr14	96829738	96829738	ATG2B
chr14	96829788	96829788	GSKIP
chr14	96968663	96968663	LOC730202
chr14	96968712	96968712	PAPOLA
chr14	97263683	97263683	VRK1
chr14	99947226	99947226	SETD3
chr14	99947738	99947738	CCNK
chr14	100070727	100070727	CCDC85C
chr14	100531750	100531750	EVL
chr14	100705101	100705101	YY1
