chrom	chromStart	chromEnd	name	EffectSize	chrTSS	startTSS	endTSS	measuredGeneSymbol	Significant	pValueAdjusted	PowerAtEffectSize10	PowerAtEffectSize25	PowerAtEffectSize50	ValidConnection	CellType	Reference
chr11	3626075	3626709	HBE1|chr11:3647305-3647939	0.1219432	chr11	5291373	5291373	HBE1	FALSE	0.729342127488	NA	0.999674502538	NA	PromoterElement	K562	Klann2017
chr11	3641915	3643535	HBE1|chr11:3663145-3664765	0.03225142	chr11	5291373	5291373	HBE1	FALSE	0.982456342633	NA	0.999909579665	NA	PromoterElement	K562	Klann2017
chr11	3801895	3802395	HBE1|chr11:3823125-3823625	0.01810731	chr11	5291373	5291373	HBE1	FALSE	0.982456342633	NA	0.836257996608	NA	TRUE	K562	Klann2017
chr11	3807815	3808775	HBE1|chr11:3829045-3830005	0.08655308	chr11	5291373	5291373	HBE1	FALSE	0.982456342633	NA	0.998675869808	NA	PromoterElement	K562	Klann2017
chr11	3824675	3825195	HBE1|chr11:3845905-3846425	0.0596111	chr11	5291373	5291373	HBE1	FALSE	0.989919227926	NA	0.999999978927	NA	TRUE	K562	Klann2017
chr11	3825255	3825755	HBE1|chr11:3846485-3846985	0.05409503	chr11	5291373	5291373	HBE1	FALSE	0.989919227926	NA	0.999818799083	NA	TRUE	K562	Klann2017
chr11	3825855	3826395	HBE1|chr11:3847085-3847625	0.02757339	chr11	5291373	5291373	HBE1	FALSE	0.983456805451	NA	0.965988003287	NA	TRUE	K562	Klann2017
chr11	3831615	3832135	HBE1|chr11:3852845-3853365	0.1157877	chr11	5291373	5291373	HBE1	FALSE	0.846461063242	NA	0.976338315014	NA	TRUE	K562	Klann2017
chr11	3834495	3835395	HBE1|chr11:3855725-3856625	0.04443549	chr11	5291373	5291373	HBE1	FALSE	0.989919227926	NA	0.999999939204	NA	TRUE	K562	Klann2017
chr11	3837695	3838215	HBE1|chr11:3858925-3859445	0.09071359	chr11	5291373	5291373	HBE1	FALSE	0.967834268322	NA	0.999900076768	NA	TRUE	K562	Klann2017
chr11	3839095	3839635	HBE1|chr11:3860325-3860865	0.05803713	chr11	5291373	5291373	HBE1	FALSE	0.995272609284	NA	0.999914077431	NA	TRUE	K562	Klann2017
chr11	3839995	3840495	HBE1|chr11:3861225-3861725	0.03568604	chr11	5291373	5291373	HBE1	FALSE	0.982456342633	NA	0.998718396297	NA	PromoterElement	K562	Klann2017
chr11	3840733	3842035	HBE1|chr11:3861963-3863265	0.1434099	chr11	5291373	5291373	HBE1	FALSE	0.466838498236	NA	0.98610047591	NA	PromoterElement	K562	Klann2017
chr11	3849115	3849635	HBE1|chr11:3870345-3870865	0.07411536	chr11	5291373	5291373	HBE1	FALSE	0.989919227926	NA	0.989594889721	NA	TRUE	K562	Klann2017
chr11	3859475	3860235	HBE1|chr11:3880705-3881465	0.07910144	chr11	5291373	5291373	HBE1	FALSE	0.982456342633	NA	0.999999998783	NA	TRUE	K562	Klann2017
chr11	3860795	3861295	HBE1|chr11:3882025-3882525	0.07103007	chr11	5291373	5291373	HBE1	FALSE	0.989919227926	NA	0.999814642608	NA	TRUE	K562	Klann2017
chr11	3865695	3866655	HBE1|chr11:3886925-3887885	0.03039849	chr11	5291373	5291373	HBE1	FALSE	0.982456342633	NA	0.993933403412	NA	TRUE	K562	Klann2017
chr11	3867355	3867855	HBE1|chr11:3888585-3889085	0.01479577	chr11	5291373	5291373	HBE1	FALSE	0.8921119347319999	NA	0.999998092404	NA	TRUE	K562	Klann2017
chr11	3871155	3871655	HBE1|chr11:3892385-3892885	0.05418742	chr11	5291373	5291373	HBE1	FALSE	0.989919227926	NA	0.999025747415	NA	TRUE	K562	Klann2017
chr11	3878615	3879135	HBE1|chr11:3899845-3900365	0.08436533	chr11	5291373	5291373	HBE1	FALSE	0.982456342633	NA	0.993596115881	NA	TRUE	K562	Klann2017
chr11	3894095	3894675	HBE1|chr11:3915325-3915905	-0.02846137	chr11	5291373	5291373	HBE1	FALSE	0.466838498236	NA	0.999993337548	NA	TRUE	K562	Klann2017
chr11	3903475	3903975	HBE1|chr11:3924705-3925205	0.11636695	chr11	5291373	5291373	HBE1	FALSE	0.846461063242	NA	0.999347088634	NA	TRUE	K562	Klann2017
chr11	3904915	3905415	HBE1|chr11:3926145-3926645	0.05141407	chr11	5291373	5291373	HBE1	FALSE	0.989919227926	NA	0.999517341335	NA	TRUE	K562	Klann2017
chr11	3954395	3954915	HBE1|chr11:3975625-3976145	0.00450323	chr11	5291373	5291373	HBE1	FALSE	0.912207910257	NA	0.99290694142	NA	TRUE	K562	Klann2017
chr11	3958755	3959375	HBE1|chr11:3979985-3980605	0.04199854	chr11	5291373	5291373	HBE1	FALSE	0.989919227926	NA	0.999992201497	NA	TRUE	K562	Klann2017
chr11	3971415	3972295	HBE1|chr11:3992645-3993525	0.16298112	chr11	5291373	5291373	HBE1	FALSE	0.846461063242	NA	0.804001637599	NA	TRUE	K562	Klann2017
chr11	3976935	3977495	HBE1|chr11:3998165-3998725	-0.01602298	chr11	5291373	5291373	HBE1	FALSE	0.846461063242	NA	0.998173119378	NA	TRUE	K562	Klann2017
chr11	3984855	3985355	HBE1|chr11:4006085-4006585	-0.05183805	chr11	5291373	5291373	HBE1	FALSE	0.128250050235	NA	0.999999995551	NA	TRUE	K562	Klann2017
chr11	3993915	3994415	HBE1|chr11:4015145-4015645	-0.02300379	chr11	5291373	5291373	HBE1	FALSE	0.846461063242	NA	0.922757711716	NA	TRUE	K562	Klann2017
chr11	3995895	3996415	HBE1|chr11:4017125-4017645	0.05363814	chr11	5291373	5291373	HBE1	FALSE	0.989919227926	NA	0.999999386014	NA	TRUE	K562	Klann2017
chr11	4043955	4044495	HBE1|chr11:4065185-4065725	0.08707607	chr11	5291373	5291373	HBE1	FALSE	0.982456342633	NA	0.999487332825	NA	TRUE	K562	Klann2017
chr11	4072595	4073155	HBE1|chr11:4093825-4094385	0.09567253	chr11	5291373	5291373	HBE1	FALSE	0.944568866097	NA	0.999838853069	NA	TRUE	K562	Klann2017
chr11	4091955	4092475	HBE1|chr11:4113185-4113705	0.02123284	chr11	5291373	5291373	HBE1	FALSE	0.982456342633	NA	0.999808283554	NA	TRUE	K562	Klann2017
chr11	4145695	4146935	HBE1|chr11:4166925-4168165	0.09800599	chr11	5291373	5291373	HBE1	FALSE	0.912207910257	NA	0.999980422596	NA	TRUE	K562	Klann2017
chr11	4182015	4182535	HBE1|chr11:4203245-4203765	0.05247865	chr11	5291373	5291373	HBE1	FALSE	0.989919227926	NA	0.999978076925	NA	TRUE	K562	Klann2017
chr11	4184495	4184995	HBE1|chr11:4205725-4206225	-0.00771111	chr11	5291373	5291373	HBE1	FALSE	0.742137392925	NA	0.999999999811	NA	TRUE	K562	Klann2017
chr11	4186815	4187401	HBE1|chr11:4208045-4208631	0.01611181	chr11	5291373	5291373	HBE1	FALSE	0.982456342633	NA	0.90377506351	NA	PromoterElement	K562	Klann2017
chr11	4187435	4188015	HBE1|chr11:4208665-4209245	0.01104425	chr11	5291373	5291373	HBE1	FALSE	0.912207910257	NA	0.998775480556	NA	PromoterElement	K562	Klann2017
chr11	4194815	4195335	HBE1|chr11:4216045-4216565	0.0346704	chr11	5291373	5291373	HBE1	FALSE	0.982456342633	NA	0.99998886419	NA	TRUE	K562	Klann2017
chr11	4393446	4393995	HBE1|chr11:4414676-4415225	0.09538165	chr11	5291373	5291373	HBE1	FALSE	0.982456342633	NA	0.998976615432	NA	PromoterElement	K562	Klann2017
chr11	4493195	4493695	HBE1|chr11:4514425-4514925	0.01464162	chr11	5291373	5291373	HBE1	FALSE	0.982456342633	NA	0.997689692726	NA	TRUE	K562	Klann2017
chr11	4539475	4539975	HBE1|chr11:4560705-4561205	-0.02062667	chr11	5291373	5291373	HBE1	FALSE	0.600189196236	NA	0.999999960114	NA	TRUE	K562	Klann2017
chr11	4607675	4608555	HBE1|chr11:4628905-4629785	0.04201549	chr11	5291373	5291373	HBE1	FALSE	0.983456805451	NA	0.999992043133	NA	PromoterElement	K562	Klann2017
chr11	4626095	4626635	HBE1|chr11:4647325-4647865	0.03847498	chr11	5291373	5291373	HBE1	FALSE	0.989919227926	NA	0.95774707572	NA	TRUE	K562	Klann2017
chr11	4658455	4659495	HBE1|chr11:4679685-4680725	0.07119471	chr11	5291373	5291373	HBE1	FALSE	0.989919227926	NA	0.99999227097	NA	TRUE	K562	Klann2017
chr11	4890355	4890855	HBE1|chr11:4911585-4912085	0.03521118	chr11	5291373	5291373	HBE1	FALSE	0.982456342633	NA	0.999997677762	NA	TRUE	K562	Klann2017
chr11	4891935	4892475	HBE1|chr11:4913165-4913705	-0.00109209	chr11	5291373	5291373	HBE1	FALSE	0.846461063242	NA	0.999996135887	NA	TRUE	K562	Klann2017
chr11	4990975	4991535	HBE1|chr11:5012205-5012765	0.03914723	chr11	5291373	5291373	HBE1	FALSE	0.982456342633	NA	0.9999998462	NA	TRUE	K562	Klann2017
chr11	5124035	5124535	HBE1|chr11:5145265-5145765	0.06248412	chr11	5291373	5291373	HBE1	FALSE	0.989919227926	NA	0.999917497391	NA	TRUE	K562	Klann2017
chr11	5129295	5129835	HBE1|chr11:5150525-5151065	-0.05954179	chr11	5291373	5291373	HBE1	FALSE	0.466838498236	NA	0.989351555056	NA	TRUE	K562	Klann2017
chr11	5131775	5132295	HBE1|chr11:5153005-5153525	-0.01905682	chr11	5291373	5291373	HBE1	FALSE	0.466838498236	NA	0.99999999999	NA	PromoterElement	K562	Klann2017
chr11	5151595	5152619	HBE1|chr11:5172825-5173849	-0.01440238	chr11	5291373	5291373	HBE1	FALSE	0.5026080089720001	NA	0.999982505644	NA	PromoterElement	K562	Klann2017
chr11	5171815	5172315	HBE1|chr11:5193045-5193545	0.06723772	chr11	5291373	5291373	HBE1	FALSE	0.989919227926	NA	0.889652045524	NA	TRUE	K562	Klann2017
chr11	5196035	5196535	HBE1|chr11:5217265-5217765	0.08846575	chr11	5291373	5291373	HBE1	FALSE	0.982456342633	NA	0.998523503088	NA	TRUE	K562	Klann2017
chr11	5204735	5205255	HBE1|chr11:5225965-5226485	-0.0377189	chr11	5291373	5291373	HBE1	FALSE	0.399113176206	NA	0.999999959458	NA	TRUE	K562	Klann2017
chr11	5234355	5234895	HBE1|chr11:5255585-5256125	0.0995487	chr11	5291373	5291373	HBE1	FALSE	0.928501236762	NA	0.999702565728	NA	PromoterElement	K562	Klann2017
chr11	5242875	5244115	HBE1|chr11:5264105-5265345	0.07821541	chr11	5291373	5291373	HBE1	FALSE	0.982456342633	NA	0.999984284822	NA	PromoterElement	K562	Klann2017
chr11	5249607	5250415	HBE1|chr11:5270837-5271645	0.44069824	chr11	5291373	5291373	HBE1	TRUE	1.36823302383e-33	NA	0.999999993372	NA	PromoterElement	K562	Klann2017
chr11	5258555	5259055	HBE1|chr11:5279785-5280285	8.8748e-4	chr11	5291373	5291373	HBE1	FALSE	0.846461063242	NA	0.99999856477	NA	TRUE	K562	Klann2017
chr11	5275735	5276235	HBE1|chr11:5296965-5297465	-0.32358968	chr11	5291373	5291373	HBE1	TRUE	3.07477010334e-13	NA	0.993058229513	NA	TRUE	K562	Klann2017
chr11	5275754	5276060	HBG2|chr11:5296984-5297290	-0.499976039	chr11	5276011	5276011	HBG2	TRUE	1.9603e-5	NA	NA	NA	TRUE	K562	Xie2017
chr11	5278635	5279175	HBE1|chr11:5299865-5300405	-0.09513497	chr11	5291373	5291373	HBE1	TRUE	0.046075154697	NA	0.998036218338	NA	TRUE	K562	Klann2017
chr11	5280370	5281170	HBBP1|chr11:5301600-5302400	-0.81438	chr11	5264822	5264822	HBBP1	TRUE	3.95e-25	NA	0.25	NA	Non-protein coding gene may not be included in ABC or other predictors	K562	Thakore2015
chr11	5280370	5281170	HBD|chr11:5301600-5302400	-0.692318	chr11	5255858	5255858	HBD	TRUE	3.85e-7	NA	0.18	NA	TRUE	K562	Thakore2015
chr11	5280370	5281170	HBE1|chr11:5301600-5302400	-0.864802	chr11	5291373	5291373	HBE1	TRUE	3.449999999999999e-99	NA	0.56	NA	TRUE	K562	Thakore2015
chr11	5280370	5281170	HBG1|chr11:5301600-5302400	-0.691966	chr11	5271087	5271087	HBG1	TRUE	1.2599999999999999e-42	NA	0.58	NA	TRUE	K562	Thakore2015
chr11	5280370	5281170	HBG2|chr11:5301600-5302400	-0.738582	chr11	5276011	5276011	HBG2	TRUE	1.8999999999999998e-52	NA	0.55	NA	TRUE	K562	Thakore2015
chr11	5284535	5285035	HBE1|chr11:5305765-5306265	-0.42208564	chr11	5291373	5291373	HBE1	TRUE	3.309531154209999e-29	NA	0.99946951484	NA	TRUE	K562	Klann2017
chr11	5284694	5284860	HBG1|chr11:5305924-5306090	-0.308306584	chr11	5271087	5271087	HBG1	TRUE	2.5322e-4	NA	NA	NA	TRUE	K562	Xie2017
chr11	5284694	5284860	HBG2|chr11:5305924-5306090	-0.415828463	chr11	5276011	5276011	HBG2	TRUE	1.97e-6	NA	NA	NA	TRUE	K562	Xie2017
chr11	5288035	5288555	HBE1|chr11:5309265-5309785	-0.46675139	chr11	5291373	5291373	HBE1	TRUE	9.58254193327e-31	NA	0.999999301054	NA	TRUE	K562	Klann2017
chr11	5288183	5288360	HBG1|chr11:5309413-5309590	-0.294995914	chr11	5271087	5271087	HBG1	TRUE	1.26e-10	NA	NA	NA	TRUE	K562	Xie2017
chr11	5288183	5288360	HBG2|chr11:5309413-5309590	-0.582503716	chr11	5276011	5276011	HBG2	TRUE	3.11e-11	NA	NA	NA	TRUE	K562	Xie2017
chr11	5291175	5291675	HBE1|chr11:5312405-5312905	-0.07378941	chr11	5291373	5291373	HBE1	FALSE	0.05835945773659999	NA	0.999694083481	NA	TRUE	K562	Klann2017
chr11	5335115	5335635	HBE1|chr11:5356345-5356865	-0.04330527	chr11	5291373	5291373	HBE1	FALSE	0.846461063242	NA	0.974964572929	NA	TRUE	K562	Klann2017
chr11	5363635	5364635	HBE1|chr11:5384865-5385865	0.07257341	chr11	5291373	5291373	HBE1	FALSE	0.989919227926	NA	0.89602286625	NA	TRUE	K562	Klann2017
chr11	5369755	5370295	HBE1|chr11:5390985-5391525	0.06727658	chr11	5291373	5291373	HBE1	FALSE	0.989919227926	NA	0.985432872347	NA	TRUE	K562	Klann2017
chr11	5380675	5381175	HBE1|chr11:5401905-5402405	0.00848271	chr11	5291373	5291373	HBE1	FALSE	0.846461063242	NA	0.999999991149	NA	TRUE	K562	Klann2017
chr11	5476135	5476675	HBE1|chr11:5497365-5497905	6.4985e-4	chr11	5291373	5291373	HBE1	FALSE	0.846461063242	NA	0.999997297137	NA	TRUE	K562	Klann2017
chr11	5504215	5505195	HBE1|chr11:5525445-5526425	0.25467245	chr11	5291373	5291373	HBE1	TRUE	0.0026464054963	NA	0.990778008666	NA	PromoterElement	K562	Klann2017
chr11	5505402	5505935	HBE1|chr11:5526632-5527165	0.20339583	chr11	5291373	5291373	HBE1	TRUE	0.0170471689816	NA	0.999697918817	NA	PromoterElement	K562	Klann2017
chr11	5530995	5531795	HBE1|chr11:5552225-5553025	0.03007019	chr11	5291373	5291373	HBE1	FALSE	0.982456342633	NA	0.999952586376	NA	TRUE	K562	Klann2017
chr11	5591615	5592135	HBE1|chr11:5612845-5613365	0.06003635	chr11	5291373	5291373	HBE1	FALSE	0.989919227926	NA	0.99999998596	NA	TRUE	K562	Klann2017
chr11	5600255	5600775	HBE1|chr11:5621485-5622005	-0.01864821	chr11	5291373	5291373	HBE1	FALSE	0.466838498236	NA	0.999999999953	NA	TRUE	K562	Klann2017
chr11	5684595	5685359	HBE1|chr11:5705825-5706589	0.04837741	chr11	5291373	5291373	HBE1	FALSE	0.989919227926	NA	0.999999888236	NA	PromoterElement	K562	Klann2017
chr11	5690235	5691935	HBE1|chr11:5711465-5713165	0.01959888	chr11	5291373	5291373	HBE1	FALSE	0.982456342633	NA	0.999399802379	NA	TRUE	K562	Klann2017
chr11	5809875	5810895	HBE1|chr11:5831105-5832125	0.06084099	chr11	5291373	5291373	HBE1	FALSE	0.989919227926	NA	0.988927094629	NA	TRUE	K562	Klann2017
chr11	6238841	6239341	HBE1|chr11:6260071-6260571	0.01827497	chr11	5291373	5291373	HBE1	FALSE	0.982456342633	NA	0.990600999486	NA	PromoterElement	K562	Klann2017
chr11	6249775	6250295	HBE1|chr11:6271005-6271525	0.03357352	chr11	5291373	5291373	HBE1	FALSE	0.982456342633	NA	0.999999999152	NA	TRUE	K562	Klann2017
chr11	6251055	6251595	HBE1|chr11:6272285-6272825	0.10482519	chr11	5291373	5291373	HBE1	FALSE	0.846461063242	NA	0.998890495331	NA	TRUE	K562	Klann2017
chr11	6251815	6252335	HBE1|chr11:6273045-6273565	0.0629672	chr11	5291373	5291373	HBE1	FALSE	0.989919227926	NA	0.999999824545	NA	TRUE	K562	Klann2017
chr11	6315775	6316275	HBE1|chr11:6337005-6337505	-0.0267693	chr11	5291373	5291373	HBE1	FALSE	0.435003559484	NA	0.999999999643	NA	TRUE	K562	Klann2017
chr11	6353295	6353855	HBE1|chr11:6374525-6375085	0.00895749	chr11	5291373	5291373	HBE1	FALSE	0.846461063242	NA	0.9999999987	NA	TRUE	K562	Klann2017
chr11	6357155	6357655	HBE1|chr11:6378385-6378885	0.04428717	chr11	5291373	5291373	HBE1	FALSE	0.989919227926	NA	0.999999930382	NA	TRUE	K562	Klann2017
chr11	6362975	6363495	HBE1|chr11:6384205-6384725	0.05173158	chr11	5291373	5291373	HBE1	FALSE	0.989919227926	NA	0.999990135981	NA	TRUE	K562	Klann2017
chr11	6367235	6367775	HBE1|chr11:6388465-6389005	0.05514011	chr11	5291373	5291373	HBE1	FALSE	0.989919227926	NA	0.999575746539	NA	TRUE	K562	Klann2017
chr11	6379155	6379675	HBE1|chr11:6400385-6400905	0.0865846	chr11	5291373	5291373	HBE1	FALSE	0.982456342633	NA	0.998195177073	NA	TRUE	K562	Klann2017
chr11	6418915	6419415	HBE1|chr11:6440145-6440645	0.03374855	chr11	5291373	5291373	HBE1	FALSE	0.989919227926	NA	0.949013742683	NA	PromoterElement	K562	Klann2017
chr11	6438895	6439415	HBE1|chr11:6460125-6460645	0.01327636	chr11	5291373	5291373	HBE1	FALSE	0.8773457711660001	NA	0.999997842841	NA	TRUE	K562	Klann2017
chr11	6440155	6441274	HBE1|chr11:6461385-6462504	-0.00268256	chr11	5291373	5291373	HBE1	FALSE	0.982456342633	NA	0.819578809574	NA	PromoterElement	K562	Klann2017
chr11	6443335	6443835	HBE1|chr11:6464565-6465065	0.04351588	chr11	5291373	5291373	HBE1	FALSE	0.989919227926	NA	0.999988775764	NA	TRUE	K562	Klann2017
chr11	6468995	6469535	HBE1|chr11:6490225-6490765	0.03943105	chr11	5291373	5291373	HBE1	FALSE	0.982456342633	NA	0.999999999995	NA	TRUE	K562	Klann2017
chr11	6473734	6474415	HBE1|chr11:6494964-6495645	0.1162698	chr11	5291373	5291373	HBE1	FALSE	0.846461063242	NA	0.991454774785	NA	PromoterElement	K562	Klann2017
chr11	6475215	6475715	HBE1|chr11:6496445-6496945	0.08676795	chr11	5291373	5291373	HBE1	FALSE	0.982456342633	NA	0.980569272115	NA	TRUE	K562	Klann2017
chr11	6531235	6531735	HBE1|chr11:6552465-6552965	0.02023369	chr11	5291373	5291373	HBE1	FALSE	0.912207910257	NA	0.999999127236	NA	TRUE	K562	Klann2017
chr11	6554775	6555735	HBE1|chr11:6576005-6576965	0.0696405	chr11	5291373	5291373	HBE1	FALSE	0.989919227926	NA	0.999973115106	NA	TRUE	K562	Klann2017
chr11	6563215	6563735	HBE1|chr11:6584445-6584965	0.05071207	chr11	5291373	5291373	HBE1	FALSE	0.989919227926	NA	0.999994951975	NA	TRUE	K562	Klann2017
chr11	6568415	6568955	HBE1|chr11:6589645-6590185	0.0829863	chr11	5291373	5291373	HBE1	FALSE	0.982456342633	NA	0.99875986822	NA	TRUE	K562	Klann2017
chr11	6576575	6577075	HBE1|chr11:6597805-6598305	0.0017278	chr11	5291373	5291373	HBE1	FALSE	0.846461063242	NA	0.999999987542	NA	TRUE	K562	Klann2017
chr11	6606855	6607355	HBE1|chr11:6628085-6628585	0.14344564	chr11	5291373	5291373	HBE1	FALSE	0.455587559661	NA	0.99747137781	NA	TRUE	K562	Klann2017
chr11	6611234	6611794	HBE1|chr11:6632465-6633025	0.05381153	chr11	5291373	5291373	HBE1	FALSE	0.989919227926	NA	0.999341688826	NA	PromoterElement	K562	Klann2017
chr11	6618914	6619734	HBE1|chr11:6640145-6640965	0.03305582	chr11	5291373	5291373	HBE1	FALSE	0.982456342633	NA	0.999953442865	NA	PromoterElement	K562	Klann2017
chr11	6635214	6636014	HBE1|chr11:6656445-6657245	0.08229842	chr11	5291373	5291373	HBE1	FALSE	0.982456342633	NA	0.999997208442	NA	TRUE	K562	Klann2017
chr11	6637894	6638894	HBE1|chr11:6659125-6660125	0.0755195	chr11	5291373	5291373	HBE1	FALSE	0.982456342633	NA	0.999988988595	NA	TRUE	K562	Klann2017
chr11	6646034	6647474	HBE1|chr11:6667265-6668705	0.08514403	chr11	5291373	5291373	HBE1	FALSE	0.920003496056	NA	0.999999999997	NA	TRUE	K562	Klann2017
chr11	6650894	6651414	HBE1|chr11:6672125-6672645	0.0849659	chr11	5291373	5291373	HBE1	FALSE	0.982456342633	NA	0.999975478718	NA	TRUE	K562	Klann2017
chr11	6655599	6656099	HBE1|chr11:6676830-6677330	0.18288128	chr11	5291373	5291373	HBE1	FALSE	0.07678330730619999	NA	0.97829628041	NA	PromoterElement	K562	Klann2017
chr11	6667734	6668234	HBE1|chr11:6688965-6689465	0.05028986	chr11	5291373	5291373	HBE1	FALSE	0.989919227926	NA	0.999999999953	NA	TRUE	K562	Klann2017
chr11	6681914	6682414	HBE1|chr11:6703145-6703645	0.10788652	chr11	5291373	5291373	HBE1	FALSE	0.912207910257	NA	0.999180782514	NA	TRUE	K562	Klann2017
chr11	6683151	6683674	HBE1|chr11:6704382-6704905	0.047892	chr11	5291373	5291373	HBE1	FALSE	0.989919227926	NA	0.999111879604	NA	PromoterElement	K562	Klann2017
chr11	6690234	6691234	HBE1|chr11:6711465-6712465	0.06402007	chr11	5291373	5291373	HBE1	FALSE	0.989919227926	NA	0.967244851467	NA	TRUE	K562	Klann2017
chr11	6693894	6694414	HBE1|chr11:6715125-6715645	0.04067393	chr11	5291373	5291373	HBE1	FALSE	0.989919227926	NA	0.999992645521	NA	TRUE	K562	Klann2017
chr11	6703394	6703914	HBE1|chr11:6724625-6725145	0.02297362	chr11	5291373	5291373	HBE1	FALSE	0.982456342633	NA	0.999906364621	NA	TRUE	K562	Klann2017
chr11	6705834	6706354	HBE1|chr11:6727065-6727585	0.06797197	chr11	5291373	5291373	HBE1	FALSE	0.989919227926	NA	0.999967730984	NA	TRUE	K562	Klann2017
chr11	6711454	6711954	HBE1|chr11:6732685-6733185	0.07032874	chr11	5291373	5291373	HBE1	FALSE	0.989919227926	NA	0.99300186062	NA	TRUE	K562	Klann2017
chr11	6728154	6728694	HBE1|chr11:6749385-6749925	0.06014761	chr11	5291373	5291373	HBE1	FALSE	0.989919227926	NA	0.999977968203	NA	TRUE	K562	Klann2017
chr11	6737794	6738294	HBE1|chr11:6759025-6759525	0.11959996	chr11	5291373	5291373	HBE1	FALSE	0.846461063242	NA	0.999910185906	NA	TRUE	K562	Klann2017
chr11	6744974	6746094	HBE1|chr11:6766205-6767325	-0.00404739	chr11	5291373	5291373	HBE1	FALSE	0.846461063242	NA	0.99998952169	NA	TRUE	K562	Klann2017
